Classification Level,Count
Rhizobium leguminosarum bv. viciae,35
Shewanella baltica,17
Streptococcus mutans,51
Bacillus flexus,94
Halomonas alkaliphila,12
Ochrobactrum cytisi,10
Bacillus anthracis,181
Streptococcus gallolyticus subsp. macedonicus,15
Rhodobacter sphaeroides,22
Haemophilus influenzae,213
Neisseria gonorrhoeae,94
Streptomyces albus,20
Bacillus circulans,31
Clavibacter michiganensis,38
Paenibacillus jamilae,14
Acinetobacter radioresistens,28
Acetobacter malorum,15
Bacillus endophyticus,37
Streptococcus parauberis,13
Rhizobium rhizogenes,24
Enterobacter asburiae,77
Porphyromonas gingivalis,30
Lactobacillus sakei,80
Staphylococcus lugdunensis,16
Micrococcus yunnanensis,35
Enterococcus hirae,97
Klebsiella aerogenes,58
Kocuria palustris,25
Pseudomonas otitidis,19
Bordetella parapertussis,10
Citrobacter braakii,13
Nocardia brasiliensis,13
Aeromonas hydrophila,239
Salmonella enterica subsp. enterica serovar Paratyphi A,119
Rhodopirellula baltica,22
Paenibacillus illinoisensis,12
Bacillus drentensis,12
Aeromonas veronii,136
Staphylococcus arlettae,28
Bacillus altitudinis,111
Riemerella anatipestifer,38
Anaplasma marginale,16
Fructobacillus fructosus,15
Streptomyces mutabilis,28
Aeromonas media,33
Vibrio azureus,12
Polynucleobacter asymbioticus,69
Streptococcus oralis,21
Pseudomonas koreensis,41
Pseudomonas oleovorans,42
Mesorhizobium mediterraneum,10
Salmonella enterica subsp. enterica serovar Dublin,18
Streptobacillus moniliformis,19
Planococcus salinarum,11
Moraxella osloensis,16
Sesame phyllody phytoplasma,17
Salmonella enterica subsp. enterica serovar Weltevreden,30
Staphylococcus warneri,76
Streptomyces goshikiensis,10
Pseudomonas protegens,27
Pseudomonas chlororaphis,29
Oblitimonas alkaliphila,10
Candidatus Sulcia muelleri,68
Bacillus siamensis,43
Staphylococcus pasteuri,54
Leuconostoc citreum,53
Thermoanaerobacter uzonensis,48
Bacillus halodurans,26
Bacillus badius,17
Nicoletella semolina,22
Zymomonas mobilis,15
Pasteurella multocida subsp. septica,14
Acidovorax delafieldii,14
Xanthomonas oryzae pv. oryzae,50
Paenibacillus taichungensis,11
Borrelia crocidurae,10
Pseudomonas plecoglossicida,56
Rhizobium tropici,22
Paenarthrobacter nitroguajacolicus,20
Lactobacillus acidophilus,33
Lactobacillus salivarius,87
Pseudoalteromonas piscicida,19
Geobacillus thermodenitrificans,58
Bacteroides uniformis,12
Psychrobacter faecalis,12
Citrobacter amalonaticus,13
Streptococcus dysgalactiae subsp. equisimilis,37
Neisseria flavescens,10
[Clostridium] leptum,30
Lactobacillus diolivorans,21
Campylobacter lari,10
Treponema phagedenis,13
Staphylococcus hominis,65
Ralstonia pickettii,27
Aster yellows phytoplasma,24
Streptococcus salivarius,41
Rothia mucilaginosa,18
Bacillus wiedmannii,16
Brachyspira pilosicoli,13
Shigella dysenteriae,45
Blautia coccoides,23
Trueperella pyogenes,40
Halomonas titanicae,12
Streptomyces turgidiscabies,15
Enterobacter kobei,22
Parageobacillus thermoglucosidasius,17
Methylorubrum extorquens,16
Bacillus pseudomycoides,35
Delftia tsuruhatensis,27
Acinetobacter venetianus,15
Paraburkholderia tropica,19
Pseudomonas pelagia,10
Yersinia frederiksenii,15
Leclercia adecarboxylata,30
Listonella anguillarum,51
Streptomyces albidoflavus,51
Pediococcus pentosaceus,126
Streptomyces ambofaciens,15
Lactobacillus rhamnosus,79
Prevotella bivia,11
Brinjal little leaf phytoplasma,16
Pseudomonas syringae pv. syringae,17
Glaesserella parasuis,64
Ensifer medicae,42
Rhodopseudomonas palustris,22
Pseudomonas fluorescens,235
Pseudomonas brassicacearum,25
Lactobacillus delbrueckii subsp. bulgaricus,132
Paenibacillus xylanexedens,16
Bacillus muralis,14
Aliivibrio fischeri,32
Clostridium botulinum,111
Acetobacter tropicalis,19
Enterobacter hormaechei,53
Staphylococcus aureus subsp. aureus ST228,12
Marinobacter algicola,14
Bacillus tequilensis,93
Enterococcus casseliflavus,26
Ponticoccus sp. (in: Proteobacteria),16
Candidatus Phytoplasma aurantifolia,47
Bacillus xiamenensis,12
Burkholderia ubonensis,61
Micrococcus luteus,82
Bacteroides caccae,10
Shigella flexneri 2a,12
Lactobacillus amylovorus,16
Enterococcus lactis,33
Acinetobacter pittii,45
Erwinia amylovora,15
Lactococcus garvieae,86
Psychrobacter celer,10
Streptococcus parasanguinis,19
Streptomyces hygroscopicus,22
Serratia liquefaciens,38
Corallococcus exiguus,20
Candidatus Halomonas phosphatis,11
Micromonospora aurantiaca,10
Streptomyces griseorubiginosus,10
Variovorax paradoxus,33
Capnocytophaga canimorsus,17
Lactobacillus coryniformis,20
Paeniclostridium sordellii,32
Paenibacillus pabuli,14
Pseudomonas monteilii,38
Tomato big bud phytoplasma,11
Pseudomonas baetica,13
Streptomyces phaeochromogenes,24
Enterococcus thailandicus,12
Bacillus halotolerans,67
Yersinia kristensenii,18
Butyrivibrio fibrisolvens,12
Klebsiella michiganensis,11
Borreliella burgdorferi (Lyme disease spirochete),16
Escherichia coli O157:H7,30
Lactobacillus crispatus,26
Streptomyces cirratus,13
Ochrobactrum anthropi,45
Vibrio alginolyticus,132
Kosakonia cowanii,20
Sugarcane white leaf phytoplasma,14
Vibrio cholerae O1,12
Staphylococcus lentus,28
Staphylococcus capitis,25
synthetic construct,29
Enterobacter cancerogenus,28
Serratia proteamaculans,17
Lysinibacillus xylanilyticus,28
Pseudomonas libanensis,10
Salmonella enterica subsp. enterica serovar Newport,27
Acidithiobacillus thiooxidans,29
Streptomyces albogriseolus,11
Marinococcus halophilus,12
Clostridium sporogenes,25
Weissella confusa,65
Komagataeibacter intermedius,11
Vibrio splendidus,41
Salmonella enterica subsp. enterica serovar Montevideo,10
Bartonella henselae,10
Dickeya dianthicola,13
Cellulomonas hominis,16
Bacillus aerius,21
Geobacillus thermoleovorans,17
Streptococcus anginosus,71
Bacillus indicus,16
Klebsiella quasipneumoniae,11
Streptococcus mitis,50
Candidatus Portiera aleyrodidarum,11
Enterobacter cloacae subsp. dissolvens,12
Pseudomonas taiwanensis,11
Kurthia gibsonii,11
Pseudomonas veronii,37
Pseudoalteromonas shioyasakiensis,17
Ensifer adhaerens,35
Salinivibrio costicola,20
Ensifer meliloti,109
Lactobacillus ruminis,19
Aeromonas salmonicida,49
Yersinia enterocolitica,65
Streptococcus gordonii,13
Lactobacillus reuteri,80
Lysinibacillus fusiformis,116
Pseudomonas mosselii,19
Xanthomonas albilineans,20
Acetobacter pasteurianus,49
Weissella paramesenteroides,21
Pediococcus acidilactici,73
Salinispora arenicola,14
Arthrobacter agilis,12
Planomicrobium okeanokoites,13
Clostridium beijerinckii,39
Kocuria marina,14
Providencia rettgeri,27
Eggerthella lenta,35
Taylorella equigenitalis,10
Vibrio litoralis,10
Oenococcus oeni,41
Salmonella enterica subsp. enterica serovar Saintpaul,20
Achromobacter xylosoxidans,83
Bacillus firmus,103
Staphylococcus equorum,37
Burkholderia vietnamiensis,31
Yersinia intermedia,14
Clostridium saccharobutylicum,14
Bacillus paralicheniformis,26
Brevibacillus parabrevis,17
Vibrio cyclitrophicus,17
Bradyrhizobium liaoningense,13
Enterobacter ludwigii,73
Acidithiobacillus ferrooxidans,44
Bartonella grahamii,10
Pseudomonas grimontii,10
Bacillus marisflavi,34
Candidatus Phytoplasma oryzae,10
Pseudomonas mendocina,42
Enterococcus gilvus,10
Arthrobacter pascens,24
Paracoccus yeei,11
Salmonella enterica subsp. enterica serovar Anatum str.,21
Providencia vermicola,10
Morganella morganii,42
Bacillus gibsonii,10
Sphingomonas sanguinis,11
Pandoraea pnomenusa,10
Bacteroides fragilis,32
[Haemophilus] ducreyi,10
Campylobacter concisus,12
Mesorhizobium ciceri,18
Lactobacillus paralimentarius,14
Moraxella bovoculi,19
Vibrio neocaledonicus,15
Paraburkholderia nodosa,27
Escherichia albertii,22
Pantoea dispersa,34
Proteus penneri,12
Pseudomonas citronellolis,11
Serratia symbiotica,39
Klebsiella variicola,65
Tsukamurella tyrosinosolvens,14
Vibrio owensii,25
Gilliamella apicola,23
Streptomyces aurantiacus,12
Staphylococcus simulans,19
Allorhizobium vitis,19
Nocardia nova,18
Citrobacter werkmanii,12
Pseudomonas denitrificans,10
Virgibacillus halodenitrificans,13
Taylorella asinigenitalis,10
Pseudomonas cichorii,10
Pseudomonas syringae pv. actinidiae,31
Acinetobacter johnsonii,60
Staphylococcus succinus,16
Pseudomonas brenneri,13
Bacillus infantis,11
Lysinimonas sp. LM-2018,16
Leuconostoc pseudomesenteroides,74
Salmonella enterica subsp. enterica serovar Tennessee,16
Streptomyces atratus,14
Pseudarthrobacter siccitolerans,21
Shewanella algae,42
Vibrio fluvialis,21
Vagococcus fluvialis,13
Atlantibacter hermannii,14
Staphylococcus carnosus,19
Bacillus cytotoxicus,36
Asaia bogorensis,14
Streptococcus sobrinus,15
Muribacter muris,25
Treponema pallidum subsp. pallidum (syphilis treponeme),18
Halobacillus dabanensis,11
Dietzia maris,24
Mycoplasmoides gallisepticum,17
Aeromonas sobria,45
Helicobacter bilis,12
Aggregatibacter actinomycetemcomitans,16
Parageobacillus toebii,15
Phaeobacter inhibens,29
Rhodococcus hoagii,28
Oceanobacillus picturae,15
Streptomyces abikoensis,15
Acinetobacter guillouiae,20
Paraclostridium bifermentans,22
Corallococcus coralloides,13
Candidatus Methylopumilus planktonicus,21
Actinomyces naeslundii,11
Acetobacter pomorum,12
Cobetia marina,18
Acinetobacter baumannii Naval-18,12
Lactobacillus kefiri,27
Providencia alcalifaciens,11
Vibrio comitans,10
Herbaspirillum huttiense,16
Xanthomonas oryzae,17
Psychrobacter alimentarius,11
Pantoea vagans,30
Bacillus coagulans,38
Streptococcus equi subsp. zooepidemicus,16
Clostridium acetobutylicum,22
Streptococcus lutetiensis,34
Myxococcus fulvus,24
Streptomyces pratensis,19
Brenneria nigrifluens,11
Rhodococcus rhodochrous,13
Escherichia fergusonii,33
Microcystis aeruginosa,13
Clostridium butyricum,45
Sorangium cellulosum,22
Xanthomonas axonopodis,11
Marinobacter hydrocarbonoclasticus,28
Raoultella terrigena,11
Salmonella enterica subsp. enterica serovar Typhimurium var. 5-,28
Gluconobacter frateurii,20
Nitratireductor kimnyeongensis,11
Bacillus subtilis subsp. spizizenii,17
Rickettsia japonica,13
Sphingobium yanoikuyae,17
Brachyspira hyodysenteriae,13
Clostridium tyrobutyricum,11
Serratia fonticola,27
Bacillus aquimaris,46
Rodentibacter heylii,18
Salinicola salarius,10
Bacillus vallismortis,30
Streptococcus sanguinis,19
Prevotella buccae,10
Kosakonia sacchari,10
Geobacillus stearothermophilus,41
Anaplasma ovis,11
Vibrio tapetis,16
Acidovorax citrulli,15
Vibrio rotiferianus,22
Bacillus niacini,22
Bacillus halmapalus,10
Paenibacillus peoriae,15
Xenorhabdus bovienii,15
Yersinia pestis,33
Bacillus nealsonii,14
Streptococcus pseudopneumoniae,20
Leptospira interrogans,26
Plesiomonas shigelloides,22
Serratia nematodiphila,18
Paenibacillus odorifer,16
Arthrobacter flavus,10
Bradyrhizobium yuanmingense,37
Streptomyces lavendulae,13
Idiomarina loihiensis,10
Candidatus Mycoplasma haemominutum,17
Bacillus koreensis,11
Candidatus Curculioniphilus buchneri,12
Citrobacter koseri,20
Francisella tularensis,38
Bacillus hwajinpoensis,16
Bacillus horikoshii,17
Streptomyces variabilis,24
Staphylococcus nepalensis,13
Ureibacillus thermosphaericus,12
Paenarthrobacter nicotinovorans,16
Lactobacillus acidipiscis,10
Streptomyces fradiae,14
Rhizobium phaseoli,12
Geobacillus kaustophilus,10
Streptococcus dysgalactiae,19
Chlamydia psittaci,14
Polynucleobacter cosmopolitanus,51
Halomonas meridiana,48
Phaeobacter piscinae,13
Pseudomonas graminis,25
Kocuria flava,10
Prevotella intermedia,22
Staphylococcus xylosus,27
Streptococcus equi,42
Staphylococcus pseudintermedius,13
Lactobacillus farciminis,13
Aeromonas allosaccharophila,13
Acinetobacter baumannii Naval-17,10
Aeromonas popoffii,13
Pseudomonas oryzihabitans,19
Acinetobacter schindleri,14
Neisseria mucosa,12
Streptococcus canis,10
Bacillus stratosphericus,46
Planococcus rifietoensis,12
Flavonifractor plautii,15
Campylobacter fetus,11
Alteromonas macleodii,30
Azospirillum brasilense,27
Pseudomonas azotoformans,28
Paenibacillus lautus,17
Burkholderia multivorans,25
Vibrio campbellii,42
Yersinia ruckeri,27
Candidatus Liberibacter asiaticus,12
Burkholderia contaminans,10
Herbaspirillum seropedicae,12
Acidovorax avenae,18
Enterococcus gallinarum,25
Listeria innocua,18
Streptomyces rochei,22
Alicyclobacillus acidoterrestris,28
Enterobacter hormaechei subsp. xiangfangensis,26
Pseudomonas gessardii,21
Paenibacillus larvae,27
Nocardia asteroides,12
[Enterobacter] aerogenes,20
Planococcus sp. (in: Bacteria),13
Salmonella enterica subsp. enterica serovar Typhimurium str.,11
Lactobacillus pontis,10
Azospirillum lipoferum,11
Paracoccus denitrificans,13
Lactobacillus parabuchneri,19
Aeromonas bestiarum,18
Alicyclobacillus acidocaldarius,10
Enterococcus avium,27
Bacillus sonorensis,31
Rahnella aquatilis,51
Dickeya chrysanthemi,32
Psychrobacter pulmonis,10
Polaromonas glacialis,10
Bradyrhizobium iriomotense,10
Streptomyces flavotricini,11
Pseudomonas moraviensis,19
Cronobacter malonaticus,12
Bacillus bingmayongensis,10
Lelliottia amnigena,20
Anaplasma capra,26
Acinetobacter indicus,10
Xanthomonas campestris,17
Weissella koreensis,10
Bacillus cohnii,11
Bacillus lentus,11
Streptomyces parvus,11
Rhizobium etli,17
Gordonia sputi,13
Mesorhizobium amorphae,29
[Pseudomonas] geniculata,27
Tetragenococcus halophilus,19
Vibrio tubiashii,13
Streptomyces puniceus,10
Micromonospora echinospora,13
Hafnia alvei,20
Sporosarcina globispora,13
Pseudomonas sabulinigri,13
Erythrobacter citreus,13
Brenneria salicis,13
Campylobacter fetus subsp. testudinum,10
Erwinia billingiae,13
Kocuria rosea,32
Acinetobacter nosocomialis,16
Pseudomonas knackmussii,10
Clostridium perfringens,54
Pseudomonas alcaligenes,18
Lactobacillus alimentarius,13
Streptomyces griseorubens,15
Borrelia hermsii,11
Lactobacillus delbrueckii subsp. lactis,12
Erwinia rhapontici,11
Parabacteroides distasonis,14
Leuconostoc garlicum,20
Veillonella parvula,10
Psychrobacter nivimaris,14
Paraburkholderia fungorum,14
Pseudomonas fulva,29
Vibrio coralliilyticus,13
Shigella boydii,44
Staphylococcus caprae,13
Pseudomonas balearica,12
Mannheimia haemolytica,36
Streptomyces exfoliatus,10
Salmonella enterica subsp. enterica serovar Thompson,11
Methylorubrum populi,21
Acinetobacter haemolyticus,24
Vibrio ichthyoenteri,10
Nocardia cyriacigeorgica,29
Escherichia coli K-12,21
Solibacillus silvestris,10
Planococcus maritimus,14
Escherichia coli str. K-12 substr. MG1655,15
Moraxella catarrhalis,21
Delftia acidovorans,22
Bacteroides thetaiotaomicron,19
Helicobacter pullorum,15
Pantoea stewartii,14
Kluyvera ascorbata,10
Aureimonas altamirensis,14
Ochrobactrum tritici,11
Streptococcus gallolyticus subsp. pasteurianus,12
Streptomyces avidinii,18
Pseudomonas viridiflava,18
Pseudomonas jessenii,15
Halomonas venusta,13
Oceanobacillus iheyensis,13
Jujube witches'-broom phytoplasma,17
Salinispora pacifica,14
Treponema denticola,12
Aneurinibacillus aneurinilyticus,11
Fictibacillus barbaricus,11
Paenibacillus alvei,12
Streptomyces parvulus,13
Akkermansia muciniphila,13
Pseudomonas mediterranea,10
Anaplasma phagocytophilum,15
Brevibacillus borstelensis,26
Pseudomonas frederiksbergensis,26
Brochothrix thermosphacta,19
Streptomyces olivaceus,11
Pseudomonas trivialis,10
Rhodococcus qingshengii,25
Rothia kristinae,13
Streptomyces platensis,12
Vibrio scophthalmi,16
Gluconobacter oxydans,11
Pediococcus damnosus,10
Bacteroides ovatus,12
Fictibacillus nanhaiensis,12
Candidatus Regiella insecticola,12
Enterobacter hormaechei subsp. oharae,16
Rhodococcus pyridinivorans,10
Bacillus oleronius,13
Brevundimonas vesicularis,10
Brachyspira aalborgi,11
Lactobacillus delbrueckii,23
Pseudarthrobacter scleromae,12
Streptococcus iniae,20
Escherichia coli str. K-12 substr. W3110,11
Lactococcus lactis subsp. cremoris,41
Xanthomonas citri pv. punicae,12
Streptococcus cristatus,11
Mycoplasmoides pneumoniae,12
Bacillus thermoamylovorans,14
Histophilus somni,22
[Pseudomonas] hibiscicola,13
Lactobacillus vaginalis,10
Pseudomonas simiae,10
Arthrobacter oryzae,15
Glutamicibacter nicotianae,18
Idiomarina zobellii,10
Aeromonas enteropelogenes,10
Chlamydia abortus,20
Xanthomonas euvesicatoria,26
Elizabethkingia miricola,10
Streptococcus gallolyticus,36
Candidatus Phytoplasma cynodontis,15
Helicobacter cinaedi,14
Sugarcane grassy shoot phytoplasma,15
Azotobacter vinelandii,11
Candidatus Phytoplasma fraxini,10
Weissella hellenica,13
Borrelia garinii,14
Pseudomonas parafulva,10
Pseudomonas xinjiangensis,21
Cellulosimicrobium funkei,14
Staphylococcus cohnii,31
Lactobacillus johnsonii,29
Bacillus subterraneus,11
Vibrio diabolicus,14
Salmonella enterica subsp. enterica serovar Anatum,12
Vibrio gigantis,15
Mycoplasmopsis bovis,23
Aerococcus urinaeequi,10
Pseudoxanthomonas mexicana,17
Neorhizobium galegae,18
Snodgrassella alvi,12
Anoxybacillus flavithermus,17
Ralstonia mannitolilytica,12
Paenibacillus glucanolyticus,11
Aeromonas jandaei,16
Lactobacillus jensenii,10
Streptomyces antibioticus,12
Pseudomonas psychrophila,14
Aeromonas veronii bv. sobria,10
Pseudoalteromonas luteoviolacea,16
Anaplasma bovis,11
Idiomarina fontislapidosi,10
Massilia eurypsychrophila,13
Photorhabdus laumondii,11
Serratia rubidaea,14
Enterobacter hormaechei subsp. steigerwaltii,10
Candidatus Phytoplasma phoenicium,16
Sphingomonas paucimobilis,10
Mesorhizobium loti,24
Acinetobacter baumannii Canada BC-5,11
Neisseria subflava,11
Gordonia terrae,17
Mesorhizobium plurifarium,13
Melissococcus plutonius,12
Xanthomonas perforans,10
Kitasatospora aureofaciens,12
Nocardiopsis lucentensis,10
Ehrlichia canis,11
Vibrio furnissii,11
Cupriavidus necator,10
Klebsiella quasipneumoniae subsp. similipneumoniae,15
Marinobacter alkaliphilus,13
Sporosarcina aquimarina,10
Nocardia seriolae,11
Raoultella planticola,19
Burkholderia thailandensis,10
Vibrio atlanticus,10
Psychrobacter cryohalolentis,12
Cylindrospermopsis raciborskii,12
Brachyspira innocens,11
Aeribacillus pallidus,15
Halomonas aquamarina,17
Streptomyces canus,14
Pseudomonas peli,12
